stat_id,stat_name,stat_short,category,subcategory,level,description,formula,player_role,data_source,requires_xy,status,higher_is_better,benchmark_poor,benchmark_avg,benchmark_good,benchmark_elite
BACKCHECK,Backchecks,BCK,Micro-Defense,Effort,Player-Game,Backcheck efforts,COUNT(backchecks),event_player_1,fact_events_tracking,False,active,True,,,,
FORECHECK,Forechecks,FC,Micro-Defense,Forecheck,Player-Game,Forecheck pressure,COUNT(forechecks),event_player_1,fact_events_tracking,False,active,True,,,,
GAP_CONTROL,Gap Control,GAP,Micro-Defense,Positioning,Player-Game,Good gap plays,COUNT(gap control),event_player_1,fact_events_tracking,False,active,True,,,,
CONTAIN,Contains,CON,Micro-Defense,Positioning,Player-Game,Contained opponent,COUNT(contains),event_player_1,fact_events_tracking,False,active,True,,,,
BOX_OUT,Box Outs,BOX,Micro-Defense,NetFront,Player-Game,Box outs,COUNT(box outs),event_player_1,fact_events_tracking,False,active,True,,,,
PRESSURE,Pressure,PRES,Micro-Defense,Effort,Player-Game,Pressure applied,COUNT(pressure),event_player_1,fact_events_tracking,False,active,True,,,,
COVERAGE_BLOWN,Blown Coverage,COV_B,Micro-Defense,Mistakes,Player-Game,Blown assignments,COUNT(blown coverage),event_player_1,fact_events_tracking,False,active,False,,,,
ZONE_ENTRY,Zone Entries,ZE,Transition,Entry,Player-Game,OZ entries,COUNT(entries),event_player_1,fact_events_tracking,False,active,True,,,,
ZONE_ENTRY_CTRL,Controlled Entries,ZE_C,Transition,Entry,Player-Game,Carry/pass entries,COUNT(controlled entries),event_player_1,fact_events_tracking,False,active,True,,,,
ZONE_ENTRY_DUMP,Dump Entries,ZE_D,Transition,Entry,Player-Game,Dump entries,COUNT(dump entries),event_player_1,fact_events_tracking,False,active,True,,,,
ZONE_ENTRY_PCT,Entry Control %,ZE%,Transition,Entry,Player-Game,Control rate,ZE_C / ZE * 100,derived,derived,False,active,True,50.0,60.0,65.0,70.0
ZONE_EXIT,Zone Exits,ZX,Transition,Exit,Player-Game,DZ exits,COUNT(exits),event_player_1,fact_events_tracking,False,active,True,,,,
ZONE_EXIT_CTRL,Controlled Exits,ZX_C,Transition,Exit,Player-Game,Carry/pass exits,COUNT(controlled exits),event_player_1,fact_events_tracking,False,active,True,,,,
ZONE_EXIT_PCT,Exit Control %,ZX%,Transition,Exit,Player-Game,Control rate,ZX_C / ZX * 100,derived,derived,False,active,True,40.0,55.0,65.0,75.0
ZONE_KEEPIN,Keep-Ins,ZK,Transition,Keepin,Player-Game,Kept puck in,COUNT(keepins),event_player_1,fact_events_tracking,False,active,True,,,,
ENTRY_DENIAL,Entry Denials,ZE_DEN,Transition-Defense,Entry,Player-Game,Stopped entries,COUNT(entry denials),opp_player_1,fact_events_tracking,False,active,True,,,,
EXIT_DENIAL,Exit Denials,ZX_DEN,Transition-Defense,Exit,Player-Game,Stopped exits,COUNT(exit denials),opp_player_1,fact_events_tracking,False,active,True,,,,
ENTRY_ALLOWED,Entries Allowed,ZE_ALW,Transition-Defense,Entry,Player-Game,Let opponent in,COUNT(entries allowed),opp_player_1,fact_events_tracking,False,active,False,,,,
EXIT_ALLOWED,Exits Allowed,ZX_ALW,Transition-Defense,Exit,Player-Game,Let opponent out,COUNT(exits allowed),opp_player_1,fact_events_tracking,False,active,False,,,,
SHOT_AGAINST,Shots Against,SA_D,Defender,Shots,Player-Game,Shots as defender,COUNT(shots against),opp_player_1,fact_events_tracking,False,active,False,,,,
GOAL_AGAINST,Goals Against,GA_D,Defender,Shots,Player-Game,Goals as defender,COUNT(goals against),opp_player_1,fact_events_tracking,False,active,False,,,,
BEAT_BY_DEKE,Beat by Deke,BEAT_DK,Defender,Beaten,Player-Game,Beaten by deke,COUNT(beat by deke),opp_player_1,fact_events_tracking,False,active,False,,,,
BEAT_BY_SPEED,Beat by Speed,BEAT_SP,Defender,Beaten,Player-Game,Beaten by speed,COUNT(beat by speed),opp_player_1,fact_events_tracking,False,active,False,,,,
BEAT_TOTAL,Times Beaten,BEAT_T,Defender,Beaten,Player-Game,Total beaten,SUM(all beat stats),opp_player_1,derived,False,active,False,,,,
FOW,Faceoff Wins,FOW,Faceoffs,Core,Player-Game,Faceoffs won,COUNT(faceoff wins),event_player_1,fact_events_tracking,False,active,True,,,,
FOL,Faceoff Losses,FOL,Faceoffs,Core,Player-Game,Faceoffs lost,COUNT(faceoff losses),event_player_1,fact_events_tracking,False,active,False,,,,
FO_PCT,Faceoff %,FO%,Faceoffs,Core,Player-Game,Faceoff win rate,FOW / (FOW + FOL) * 100,derived,derived,False,active,True,45.0,50.0,52.0,55.0
PEN_TAKEN,Penalties Taken,PEN,Penalties,Core,Player-Game,Penalties taken,COUNT(penalties),event_player_1,fact_events_tracking,False,active,False,,,,
PEN_DRAWN,Penalties Drawn,PEN_D,Penalties,Core,Player-Game,Penalties drawn,COUNT(drawn),event_player_2,fact_events_tracking,False,active,True,,,,
PEN_DIFF,Penalty Diff,PEN+/-,Penalties,Core,Player-Game,Drawn minus taken,PEN_DRAWN - PEN_TAKEN,derived,derived,False,active,True,,,,
PP_G,PP Goals,PPG,Special Teams,PP,Player-Game,Power play goals,COUNT(PP goals),event_player_1,fact_events_tracking,False,active,True,,,,
PP_A,PP Assists,PPA,Special Teams,PP,Player-Game,Power play assists,COUNT(PP assists),event_player_2,fact_events_tracking,False,active,True,,,,
SH_G,SH Goals,SHG,Special Teams,PK,Player-Game,Shorthanded goals,COUNT(SH goals),event_player_1,fact_events_tracking,False,active,True,,,,
CF,Corsi For,CF,Possession,Shot,Player-On-Ice,Shot attempts for,COUNT(shot attempts for),on_ice,fact_events_tracking,False,active,True,,,,
CA,Corsi Against,CA,Possession,Shot,Player-On-Ice,Shot attempts against,COUNT(shot attempts against),on_ice,fact_events_tracking,False,active,False,,,,
CF_PCT,Corsi %,CF%,Possession,Shot,Player-On-Ice,Shot attempt share,CF / (CF + CA) * 100,derived,derived,False,active,True,45.0,50.0,52.0,55.0
FF,Fenwick For,FF,Possession,Shot,Player-On-Ice,Unblocked for,COUNT(unblocked for),on_ice,fact_events_tracking,False,active,True,,,,
FA,Fenwick Against,FA,Possession,Shot,Player-On-Ice,Unblocked against,COUNT(unblocked against),on_ice,fact_events_tracking,False,active,False,,,,
FF_PCT,Fenwick %,FF%,Possession,Shot,Player-On-Ice,Unblocked share,FF / (FF + FA) * 100,derived,derived,False,active,True,45.0,50.0,52.0,55.0
PDO,PDO,PDO,Possession,Luck,Player-On-Ice,On-ice SH% + SV%,SH% + SV%,derived,derived,False,active,False,98.0,100.0,100.0,102.0
GWG,Game Winner,GWG,Situational,Clutch,Player-Game,Game winning goals,COUNT(GWG),event_player_1,fact_events_tracking,False,active,True,,,,
OTG,OT Goals,OTG,Situational,Clutch,Player-Game,Overtime goals,COUNT(OT goals),event_player_1,fact_events_tracking,False,active,True,,,,
SV_PCT,Save %,SV%,Goalie,Core,Goalie-Game,Save percentage,(SA - GA) / SA * 100,goalie,fact_events_tracking,False,active,True,88.0,91.0,92.0,93.0
GAA,GAA,GAA,Goalie,Core,Goalie-Game,Goals against avg,GA / TOI * 60,derived,derived,False,active,False,3.5,2.8,2.5,2.0
SA,Shots Against,SA,Goalie,Core,Goalie-Game,Shots faced,COUNT(shots faced),goalie,fact_events_tracking,False,active,False,,,,
GA,Goals Against,GA,Goalie,Core,Goalie-Game,Goals allowed,COUNT(goals allowed),goalie,fact_events_tracking,False,active,False,,,,
SAVES,Saves,SV,Goalie,Core,Goalie-Game,Saves made,SA - GA,derived,derived,False,active,True,,,,
REBOUND_PCT,Rebound Control,REB%,Goalie,Control,Goalie-Game,No rebound rate,1 - (rebounds / saves),goalie,fact_events_tracking,False,active,True,70.0,75.0,78.0,82.0
FREEZE_PCT,Freeze %,FRZ%,Goalie,Control,Goalie-Game,Freeze rate,freezes / saves * 100,goalie,fact_events_tracking,False,active,True,,,,
QOC_RATING,Quality of Comp,QoC,Rating-Aware,Context,Player-Game,Avg opponent rating,AVG(opp_rating),on_ice,dim_player,False,active,False,,,,
QOT_RATING,Quality of Team,QoT,Rating-Aware,Context,Player-Game,Avg teammate rating,AVG(teammate_rating),on_ice,dim_player,False,active,False,,,,
OFFENSIVE_RATING,Offensive Rating,O_RTG,Composite,Overall,Player-Season,Offensive score,weighted(G A SOG),derived,derived,False,active,True,,,,
DEFENSIVE_RATING,Defensive Rating,D_RTG,Composite,Overall,Player-Season,Defensive score,weighted(TK BLK BCK),derived,derived,False,active,True,,,,
HUSTLE_RATING,Hustle Rating,H_RTG,Composite,Effort,Player-Game,Effort metric,weighted(BCK FC BTL_W),derived,derived,False,active,True,,,,
IMPACT_SCORE,Impact Score,IMP,Composite,Overall,Player-Game,Game impact,weighted(PTS +/- CF%),derived,derived,False,active,True,,,,
SHIFT_TOO_LONG,Long Shifts,LONG_SH,Beer League,Deployment,Player-Game,Shifts over 90s,COUNT(shifts > 90s),event_player_1,fact_shifts_tracking,False,active,False,,,,
FATIGUE_EVENTS,Fatigue Events,FAT,Beer League,Mistakes,Player-Game,Late shift mistakes,COUNT(late shift TO),event_player_1,fact_events_tracking,False,active,False,,,,
