stat_id,stat_code,stat_name,category,description,formula,player_role,computable_now,benchmark_elite,nhl_avg_per_game,nhl_elite_threshold,nhl_min_threshold
MS0042,PRESSURE,Pressures,micro_defense,Pressure applied,count of pressure events,event_player_1,yes,,,,
MS0043,GIVE,Giveaways,turnover,All giveaways,count of giveaways,event_player_1,yes,,0.7,1.5,0.3
MS0044,GIVE_BAD,Bad Giveaways,turnover,Bad giveaways (misplays),giveaways with quality=BAD,event_player_1,yes,,,,
MS0045,GIVE_NEUTRAL,Neutral Giveaways,turnover,Neutral giveaways (dumps),giveaways with quality=NEUTRAL,event_player_1,yes,,,,
MS0046,TAKE,Takeaways,turnover,All takeaways,count of takeaways,event_player_1,yes,,0.5,1.2,0.2
MS0047,TO_DIFF,Turnover Diff,turnover,Turnover differential,TAKE - GIVE_BAD,derived,yes,,,,
MS0048,ZE,Zone Entries,zone,Zone entry attempts,count of entries,event_player_1,yes,,,,
MS0049,ZE_C,Controlled Entries,zone,Controlled zone entries,carry/pass entries,event_player_1,yes,,,,
MS0050,ZE_PCT,Entry %,zone,Controlled entry rate,ZE_C / ZE * 100,derived,yes,,,,
MS0051,ZX,Zone Exits,zone,Zone exit attempts,count of exits,event_player_1,yes,,,,
MS0052,ZX_C,Controlled Exits,zone,Controlled zone exits,carry/pass exits,event_player_1,yes,,,,
MS0053,ZX_PCT,Exit %,zone,Controlled exit rate,ZX_C / ZX * 100,derived,yes,,,,
MS0054,ENTRY_DENIED,Entries Denied,defense,Zone entries denied,count as opp_player_1,opp_player_1,yes,,,,
MS0055,ENTRY_ALLOWED,Entries Allowed,defense,Zone entries allowed,count as opp_player_1,opp_player_1,yes,,,,
MS0056,EXIT_DENIED,Exits Denied,defense,Zone exits denied,count as opp_player_1,opp_player_1,yes,,,,
MS0057,EXIT_ALLOWED,Exits Allowed,defense,Zone exits allowed,count as opp_player_1,opp_player_1,yes,,,,
MS0058,SHOT_AGAINST,Shots Against,defense,Shots while primary defender,shots as opp_player_1,opp_player_1,yes,,,,
MS0059,GOAL_AGAINST,Goals Against,defense,Goals while primary defender,goals as opp_player_1,opp_player_1,yes,,,,
MS0060,BEAT_BY,Beat By,defense,Times beaten by attacker,count beaten,opp_player_1,yes,,,,
MS0061,FOW,Faceoff Wins,faceoff,Faceoffs won,count won,event_player_1,yes,,8,15,3
MS0062,FOL,Faceoff Losses,faceoff,Faceoffs lost,count lost,event_player_1,yes,,,,
MS0063,FO_PCT,Faceoff %,faceoff,Faceoff win rate,FOW / (FOW + FOL) * 100,derived,yes,,50%,58%,40%
MS0064,PIM,Penalty Minutes,penalty,Penalty minutes,sum of penalty minutes,event_player_1,yes,,,,
MS0065,PEN_TAKEN,Penalties Taken,penalty,Penalties taken,count of penalties,event_player_1,yes,,,,
MS0066,PEN_DRAWN,Penalties Drawn,penalty,Penalties drawn,count drawn,event_player_1,yes,,,,
MS0067,SA,Shots Against,goalie,Shots faced,count of shots,goalie,yes,,,,
MS0068,GA,Goals Against,goalie,Goals allowed,count of goals,goalie,yes,,,,
MS0069,SV,Saves,goalie,Saves made,SA - GA,goalie,yes,,,,
MS0070,SV_PCT,Save %,goalie,Save percentage,SV / SA * 100,goalie,yes,,,,
MS0071,GAA,GAA,goalie,Goals against average,GA * 60 / TOI,goalie,yes,,,,
MS0072,REBOUND_PCT,Rebound Control %,goalie,Rebound control rate,freezes / (freezes + rebounds),goalie,yes,,,,
MS0073,RECOVERY,Puck Recoveries,possession,Loose puck recoveries,count of recoveries,event_player_1,yes,,,,
MS0074,RETRIEVAL,Puck Retrievals,possession,Dump-in retrievals,count of retrievals,event_player_1,yes,,,,
MS0075,BATTLE_WIN,Battles Won,possession,Puck battles won,count won,event_player_1,yes,,,,
MS0076,BATTLE_LOSS,Battles Lost,possession,Puck battles lost,count lost,event_player_1,yes,,,,
MS0077,SKILL_DIFF,Skill Differential,rating,Avg skill diff vs opponents,player_rating - opp_rating,derived,yes,,,,
MS0078,PTS_VS_HIGHER,Pts vs Higher Rated,rating,Points vs higher-rated players,pts when opp_rating > player_rating,derived,yes,,,,
MS0079,UPSET_FACTOR,Upset Factor,rating,Outperformance vs expected,actual - expected based on rating,derived,yes,,,,
MS0080,G_60,Goals/60,per60,Goals per 60 minutes,G * 60 / TOI,derived,yes,,,,
MS0081,A_60,Assists/60,per60,Assists per 60 minutes,A * 60 / TOI,derived,yes,,,,
MS0082,PTS_60,Points/60,per60,Points per 60 minutes,PTS * 60 / TOI,derived,yes,,,,
MS0083,SOG_60,Shots/60,per60,Shots per 60 minutes,SOG * 60 / TOI,derived,yes,,,,
