event_detail_2_id,event_detail_2_code,event_detail_2_name,event_type,event_type_macro,category,description,is_shot_on_goal,is_goal,is_miss,is_block,danger_potential
ED030,Pass_Bank,Pass Bank,Pass,Pass,pass_modifier,Pass_Modifier - Pass Bank,False,False,False,False,
ED031,Pass_Deflected/TippedShot,Pass Deflected/TippedShot,Pass,Pass,pass_modifier,Pass_Modifier - Pass Deflected/TippedShot,False,False,False,False,high
ED032,Pass_Drop,Pass Drop,Pass,Pass,pass_modifier,Pass_Modifier - Pass Drop,False,False,False,False,
ED033,Pass_Dump,Pass Dump,Pass,Pass,pass_modifier,Pass_Modifier - Pass Dump,False,False,False,False,
ED034,Pass_Forehand,Pass Forehand,Pass,Pass,pass_modifier,Pass_Modifier - Pass Forehand,False,False,False,False,
ED035,Pass_GiveAndGo,Pass GiveAndGo,Pass,Pass,pass_modifier,Pass_Modifier - Pass GiveAndGo,False,False,False,False,
ED036,Pass_Lob,Pass Lob,Pass,Pass,pass_modifier,Pass_Modifier - Pass Lob,False,False,False,False,
ED037,Pass_OneTouch,Pass OneTouch,Pass,Pass,pass_modifier,Pass_Modifier - Pass OneTouch,False,False,False,False,
ED038,Pass_Other,Pass Other,Pass,Pass,pass_modifier,Pass_Modifier - Pass Other,False,False,False,False,
ED039,Pass_QuickUp,Pass QuickUp,Pass,Pass,pass_modifier,Pass_Modifier - Pass QuickUp,False,False,False,False,
ED040,Pass_ReceiverMissed,Pass ReceiverMissed,Pass,Pass,pass_modifier,Pass_Modifier - Pass ReceiverMissed,False,False,False,False,low
ED041,Pass_Reverse,Pass Reverse,Pass,Pass,pass_modifier,Pass_Modifier - Pass Reverse,False,False,False,False,
ED042,Pass_Rim/Wrap,Pass Rim/Wrap,Pass,Pass,pass_modifier,Pass_Modifier - Pass Rim/Wrap,False,False,False,False,
ED043,Pass_SecondTouch,Pass SecondTouch,Pass,Pass,pass_modifier,Pass_Modifier - Pass SecondTouch,False,False,False,False,
ED044,Pass_Stretch,Pass Stretch,Pass,Pass,pass_modifier,Pass_Modifier - Pass Stretch,False,False,False,False,
ED045,Pass_Tipped,Pass Tipped,Pass,Pass,pass_modifier,Pass_Modifier - Pass Tipped,False,False,False,False,high
ED046,Penalty_Bench Penalty,Penalty Bench Penalty,Penalty,Penalty,penalty,Penalty - Penalty Bench Penalty,False,False,False,False,
ED047,Penalty_Boarding,Penalty Boarding,Penalty,Penalty,penalty,Penalty - Penalty Boarding,False,False,False,False,
ED048,Penalty_Charging,Penalty Charging,Penalty,Penalty,penalty,Penalty - Penalty Charging,False,False,False,False,
ED049,Penalty_CrossChecking,Penalty CrossChecking,Penalty,Penalty,penalty,Penalty - Penalty CrossChecking,False,False,False,False,
ED050,Penalty_DelayofGame,Penalty DelayofGame,Penalty,Penalty,penalty,Penalty - Penalty DelayofGame,False,False,False,False,
ED051,Penalty_Diving,Penalty Diving,Penalty,Penalty,penalty,Penalty - Penalty Diving,False,False,False,False,
ED052,Penalty_Elbowing,Penalty Elbowing,Penalty,Penalty,penalty,Penalty - Penalty Elbowing,False,False,False,False,
ED053,Penalty_Fighting,Penalty Fighting,Penalty,Penalty,penalty,Penalty - Penalty Fighting,False,False,False,False,
ED054,Penalty_GoalieInterference,Penalty GoalieInterference,Penalty,Penalty,penalty,Penalty - Penalty GoalieInterference,False,False,False,False,high
ED055,Penalty_HighSticking,Penalty HighSticking,Penalty,Penalty,penalty,Penalty - Penalty HighSticking,False,False,False,False,
ED056,Penalty_Holding,Penalty Holding,Penalty,Penalty,penalty,Penalty - Penalty Holding,False,False,False,False,
ED057,Penalty_Hooking,Penalty Hooking,Penalty,Penalty,penalty,Penalty - Penalty Hooking,False,False,False,False,
ED058,Penalty_Interference,Penalty Interference,Penalty,Penalty,penalty,Penalty - Penalty Interference,False,False,False,False,
ED059,Penalty_Misconduct,Penalty Misconduct,Penalty,Penalty,penalty,Penalty - Penalty Misconduct,False,False,False,False,
ED060,Penalty_Other,Penalty Other,Penalty,Penalty,penalty,Penalty - Penalty Other,False,False,False,False,
ED061,Penalty_Roughing,Penalty Roughing,Penalty,Penalty,penalty,Penalty - Penalty Roughing,False,False,False,False,
ED062,Penalty_Slashing,Penalty Slashing,Penalty,Penalty,penalty,Penalty - Penalty Slashing,False,False,False,False,
ED063,Penalty_TooManyMenontheIce,Penalty TooManyMenontheIce,Penalty,Penalty,penalty,Penalty - Penalty TooManyMenontheIce,False,False,False,False,
ED064,Penalty_Tripping,Penalty Tripping,Penalty,Penalty,penalty,Penalty - Penalty Tripping,False,False,False,False,
ED065,Penalty_UnsportsmanlikeConduct,Penalty UnsportsmanlikeConduct,Penalty,Penalty,penalty,Penalty - Penalty UnsportsmanlikeConduct,False,False,False,False,
ED066,Play_AttemptedClear,Play AttemptedClear,Play_Defensive,Play,other,Other - Play AttemptedClear,False,False,False,False,
ED067,Play_Backcheck,Play Backcheck,Play_Defensive,Play,other,Other - Play Backcheck,False,False,False,False,
ED068,Play_BeatDeke,Play BeatDeke,Play_Defensive,Play,other,Other - Play BeatDeke,False,False,False,False,
ED069,Play_BeatMiddle,Play BeatMiddle,Play_Defensive,Play,other,Other - Play BeatMiddle,False,False,False,False,
ED070,Play_BeatSpeed,Play BeatSpeed,Play_Defensive,Play,other,Other - Play BeatSpeed,False,False,False,False,
ED071,Play_BeatWide,Play BeatWide,Play_Defensive,Play,other,Other - Play BeatWide,False,False,False,False,low
ED072,Play_BoxOut,Play BoxOut,Play_Defensive,Play,other,Other - Play BoxOut,False,False,False,False,
ED073,Play_Chip,Play Chip,Play_Offensive,Play,other,Other - Play Chip,False,False,False,False,
ED074,Play_Contain,Play Contain,Play_Defensive,Play,other,Other - Play Contain,False,False,False,False,
ED075,Play_CrashNet,Play CrashNet,Play_Offensive,Play,other,Other - Play CrashNet,False,False,False,False,
ED076,Play_Deke,Play Deke,Play_Offensive,Play,other,Other - Play Deke,False,False,False,False,
ED077,Play_Delay,Play Delay,Play_Offensive,Play,other,Other - Play Delay,False,False,False,False,
ED078,Play_DriveCorner,Play DriveCorner,Play_Offensive,Play,other,Other - Play DriveCorner,False,False,False,False,
ED079,Play_DriveMiddle,Play DriveMiddle,Play_Offensive,Play,other,Other - Play DriveMiddle,False,False,False,False,
ED080,Play_DriveNetMiddle,Play DriveNetMiddle,Play_Offensive,Play,other,Other - Play DriveNetMiddle,False,False,False,False,
ED081,Play_DriveNetWide,Play DriveNetWide,Play_Offensive,Play,other,Other - Play DriveNetWide,False,False,False,False,low
ED082,Play_DriveWide,Play DriveWide,Play_Offensive,Play,other,Other - Play DriveWide,False,False,False,False,low
ED083,Play_Dump/RimInZone,Play Dump/RimInZone,Play_Offensive,Play,other,Other - Play Dump/RimInZone,False,False,False,False,
ED084,Play_DumpChase,Play DumpChase,Play_Offensive,Play,other,Other - Play DumpChase,False,False,False,False,
ED085,Play_Forecheck,Play Forecheck,Play_Offensive,Play,other,Other - Play Forecheck,False,False,False,False,
ED086,Play_FroceWide,Play FroceWide,Play_Defensive,Play,other,Other - Play FroceWide,False,False,False,False,low
ED087,Play_Other,Play Other,Play_Defensive,Play,other,Other - Play Other,False,False,False,False,
ED088,Play_PokeCheck,Play PokeCheck,Play_Defensive,Play,other,Other - Play PokeCheck,False,False,False,False,
ED089,Play_PokeCheckFailed,Play PokeCheckFailed,Play_Defensive,Play,other,Other - Play PokeCheckFailed,False,False,False,False,
ED090,Play_SeperateFromPuck,Play SeperateFromPuck,Play_Defensive,Play,other,Other - Play SeperateFromPuck,False,False,False,False,
ED091,Play_Speed,Play Speed,Play_Offensive,Play,other,Other - Play Speed,False,False,False,False,
ED092,Rebound_FlurryGenerated,Rebound FlurryGenerated,Rebound,Rebound,other,Other - Rebound FlurryGenerated,False,False,False,False,
ED093,Rebound_OppTeamRecovered,Rebound OppTeamRecovered,Rebound,Rebound,other,Other - Rebound OppTeamRecovered,False,False,False,False,
ED094,Rebound_ShotGenerated,Rebound ShotGenerated,Rebound,Rebound,other,Other - Rebound ShotGenerated,False,False,False,False,
ED095,Rebound_TeamRecovered,Rebound TeamRecovered,Rebound,Rebound,other,Other - Rebound TeamRecovered,False,False,False,False,
ED096,Save_Blocker,Save Blocker,Save,Save,save_modifier,Save_Modifier - Save Blocker,False,False,False,False,low
ED097,Save_Butterfly,Save Butterfly,Save,Save,save_modifier,Save_Modifier - Save Butterfly,False,False,False,False,
ED098,Save_Chest,Save Chest,Save,Save,save_modifier,Save_Modifier - Save Chest,False,False,False,False,
ED099,Save_Glove,Save Glove,Save,Save,save_modifier,Save_Modifier - Save Glove,False,False,False,False,
ED100,Save_LeftPad,Save LeftPad,Save,Save,save_modifier,Save_Modifier - Save LeftPad,False,False,False,False,
ED101,Save_Other,Save Other,Save,Save,save_modifier,Save_Modifier - Save Other,False,False,False,False,
ED102,Save_RightPad,Save RightPad,Save,Save,save_modifier,Save_Modifier - Save RightPad,False,False,False,False,
ED103,Save_Scramble,Save Scramble,Save,Save,save_modifier,Save_Modifier - Save Scramble,False,False,False,False,
ED104,Save_Stick,Save Stick,Save,Save,save_modifier,Save_Modifier - Save Stick,False,False,False,False,
ED105,Shot_Backhand,Shot Backhand,Shot,Save,shot_modifier,Shot_Modifier - Shot Backhand,True,False,False,False,medium
ED106,Shot_Bat,Shot Bat,Shot,Save,shot_modifier,Shot_Modifier - Shot Bat,True,False,False,False,medium
ED107,Shot_BetweenLegs,Shot BetweenLegs,Shot,Save,shot_modifier,Shot_Modifier - Shot BetweenLegs,True,False,False,False,medium
ED108,Shot_Cradle,Shot Cradle,Shot,Save,shot_modifier,Shot_Modifier - Shot Cradle,True,False,False,False,medium
ED109,Shot_Deflection,Shot Deflection,Shot,Save,shot_modifier,Shot_Modifier - Shot Deflection,True,False,False,False,high
ED110,Shot_Dumpin,Shot Dumpin,Shot,Save,shot_modifier,Shot_Modifier - Shot Dumpin,True,False,False,False,medium
ED111,Shot_OneTime,Shot OneTime,Shot,Save,shot_modifier,Shot_Modifier - Shot OneTime,True,False,False,False,high
ED112,Shot_Other,Shot Other,Shot,Save,shot_modifier,Shot_Modifier - Shot Other,True,False,False,False,medium
ED113,Shot_Poke,Shot Poke,Shot,Save,shot_modifier,Shot_Modifier - Shot Poke,True,False,False,False,medium
ED114,Shot_Slap,Shot Slap,Shot,Save,shot_modifier,Shot_Modifier - Shot Slap,True,False,False,False,medium
ED115,Shot_Snap,Shot Snap,Shot,Save,shot_modifier,Shot_Modifier - Shot Snap,True,False,False,False,medium
ED116,Shot_Tip,Shot Tip,Shot,Save,shot_modifier,Shot_Modifier - Shot Tip,True,False,False,False,high
ED117,Shot_WrapAround,Shot WrapAround,Shot,Save,shot_modifier,Shot_Modifier - Shot WrapAround,True,False,False,False,medium
ED118,Shot_Wrist,Shot Wrist,Shot,Save,shot_modifier,Shot_Modifier - Shot Wrist,True,False,False,False,medium
ED119,Stoppage_Challenge,Stoppage Challenge,Stoppage,Stoppage,stoppage,Stoppage - Stoppage Challenge,False,False,False,False,
ED120,Stoppage_ClockProblem,Stoppage ClockProblem,Stoppage,Stoppage,stoppage,Stoppage - Stoppage ClockProblem,False,False,False,False,
ED121,Stoppage_Goal,Stoppage Goal,Stoppage,Stoppage,stoppage,Stoppage - Stoppage Goal,False,False,False,False,high
ED122,Stoppage_GoalieStoppage,Stoppage GoalieStoppage,Stoppage,Stoppage,stoppage,Stoppage - Stoppage GoalieStoppage,False,False,False,False,high
ED123,Stoppage_HandPass,Stoppage HandPass,Stoppage,Stoppage,stoppage,Stoppage - Stoppage HandPass,False,False,False,False,
ED124,Stoppage_HighStick,Stoppage HighStick,Stoppage,Stoppage,stoppage,Stoppage - Stoppage HighStick,False,False,False,False,
ED125,Stoppage_HomeTimeout,Stoppage HomeTimeout,Stoppage,Stoppage,stoppage,Stoppage - Stoppage HomeTimeout,False,False,False,False,
ED126,Stoppage_Icing,Stoppage Icing,Stoppage,Stoppage,stoppage,Stoppage - Stoppage Icing,False,False,False,False,
ED127,Stoppage_Injury,Stoppage Injury,Stoppage,Stoppage,stoppage,Stoppage - Stoppage Injury,False,False,False,False,
ED128,Stoppage_NetDislodged,Stoppage NetDislodged,Stoppage,Stoppage,stoppage,Stoppage - Stoppage NetDislodged,False,False,False,False,
ED129,Stoppage_ObjectsonIce,Stoppage ObjectsonIce,Stoppage,Stoppage,stoppage,Stoppage - Stoppage ObjectsonIce,False,False,False,False,
ED130,Stoppage_OfficialInjury,Stoppage OfficialInjury,Stoppage,Stoppage,stoppage,Stoppage - Stoppage OfficialInjury,False,False,False,False,
ED131,Stoppage_Offsides,Stoppage Offsides,Stoppage,Stoppage,stoppage,Stoppage - Stoppage Offsides,False,False,False,False,
ED132,Stoppage_Other,Stoppage Other,Stoppage,Stoppage,stoppage,Stoppage - Stoppage Other,False,False,False,False,
ED133,Stoppage_Penalty,Stoppage Penalty,Stoppage,Stoppage,stoppage,Stoppage - Stoppage Penalty,False,False,False,False,
ED134,Stoppage_PeriodEnd,Stoppage PeriodEnd,Stoppage,Stoppage,stoppage,Stoppage - Stoppage PeriodEnd,False,False,False,False,
ED135,Stoppage_PeriodStart,Stoppage PeriodStart,Stoppage,Stoppage,stoppage,Stoppage - Stoppage PeriodStart,False,False,False,False,
ED136,Stoppage_PlayerEquipment,Stoppage PlayerEquipment,Stoppage,Stoppage,stoppage,Stoppage - Stoppage PlayerEquipment,False,False,False,False,
ED137,Stoppage_PuckOutofPlay,Stoppage PuckOutofPlay,Stoppage,Stoppage,stoppage,Stoppage - Stoppage PuckOutofPlay,False,False,False,False,
ED138,Stoppage_RinkRepair,Stoppage RinkRepair,Stoppage,Stoppage,stoppage,Stoppage - Stoppage RinkRepair,False,False,False,False,
ED139,Stoppage_StartofShootout,Stoppage StartofShootout,Stoppage,Stoppage,stoppage,Stoppage - Stoppage StartofShootout,False,False,False,False,
ED140,Stoppage_VisitorTimeout,Stoppage VisitorTimeout,Stoppage,Stoppage,stoppage,Stoppage - Stoppage VisitorTimeout,False,False,False,False,
ED141,Takeaway_AttemptedZoneClear/Dump,Takeaway AttemptedZoneClear/Dump,Takeaway,Turnover,takeaway,Takeaway - Takeaway AttemptedZoneClear/Dump,False,False,False,False,
ED142,Takeaway_BattleWon,Takeaway BattleWon,Takeaway,Turnover,takeaway,Takeaway - Takeaway BattleWon,False,False,False,False,high
ED143,Takeaway_Other,Takeaway Other,Takeaway,Turnover,takeaway,Takeaway - Takeaway Other,False,False,False,False,
ED144,Takeaway_PassBlocked,Takeaway PassBlocked,Takeaway,Turnover,takeaway,Takeaway - Takeaway PassBlocked,False,False,False,False,low
ED145,Takeaway_PassIntercepted,Takeaway PassIntercepted,Takeaway,Turnover,takeaway,Takeaway - Takeaway PassIntercepted,False,False,False,False,
ED146,Takeaway_PokeCheck,Takeaway PokeCheck,Takeaway,Turnover,takeaway,Takeaway - Takeaway PokeCheck,False,False,False,False,
ED147,Takeaway_ShotBlocked,Takeaway ShotBlocked,Takeaway,Turnover,takeaway,Takeaway - Takeaway ShotBlocked,False,False,False,False,low
ED148,Takeaway_ZoneClear/Dump,Takeaway ShotBlocked,Takeaway,Turnover,takeaway,Takeaway - Takeaway ZoneClear/Dump,False,False,False,False,
ED149,Zone_KeepIn,Zone KeepIn,Zone_Keepin,Zone_Entry_Exit,zone_play,Zone_Play - Zone KeepIn,False,False,False,False,
ED150,Zone_Other,Zone Other,Zone_Keepin,Zone_Entry_Exit,zone_play,Zone_Play - Zone Other,False,False,False,False,
ED151,Zone_Pinch,Zone Pinch,Zone_Keepin,Zone_Entry_Exit,zone_play,Zone_Play - Zone Pinch,False,False,False,False,
ED152,ZoneEntry_CausedTurnover,ZoneEntry CausedTurnover,Zone_Entry,Zone_Entry_Exit,zone_entry,Zone_Entry - ZoneEntry CausedTurnover,False,False,False,False,
ED153,ZoneEntry_Chip,ZoneEntry Chip,Zone_Entry,Zone_Entry_Exit,uncontrolled_entry,Uncontrolled_Entry - ZoneEntry Chip,False,False,False,False,
ED154,ZoneEntry_DumpIn,ZoneEntry DumpIn,Zone_Entry,Zone_Entry_Exit,uncontrolled_entry,Uncontrolled_Entry - ZoneEntry DumpIn,False,False,False,False,
ED155,ZoneEntry_FromExitClear,ZoneEntry FromExitClear,Zone_Entry,Zone_Entry_Exit,zone_entry,Zone_Entry - ZoneEntry FromExitClear,False,False,False,False,
ED156,ZoneEntry_Lob,ZoneEntry Lob,Zone_Entry,Zone_Entry_Exit,zone_entry,Zone_Entry - ZoneEntry Lob,False,False,False,False,
ED157,ZoneEntry_OppTeam,ZoneEntry OppTeam,Zone_Entry,Zone_Entry_Exit,zone_entry,Zone_Entry - ZoneEntry OppTeam,False,False,False,False,
ED158,ZoneEntry_Other,ZoneEntry Other,Zone_Entry,Zone_Entry_Exit,zone_entry,Zone_Entry - ZoneEntry Other,False,False,False,False,
ED159,ZoneEntry_Pass,ZoneEntry Pass,Zone_Entry,Zone_Entry_Exit,controlled_entry,Controlled_Entry - ZoneEntry Pass,False,False,False,False,
ED160,ZoneEntry_PassMiss/Misplay,ZoneEntry PassMiss/Misplay,Zone_Entry,Zone_Entry_Exit,controlled_entry,Controlled_Entry - ZoneEntry PassMiss/Misplay,False,False,False,False,low
ED161,ZoneEntry_PenaltyKillClear,ZoneEntry PenaltyKillClear,Zone_Entry,Zone_Entry_Exit,zone_entry,Zone_Entry - ZoneEntry PenaltyKillClear,False,False,False,False,
ED162,ZoneEntry_Carried,ZoneEntry Carried,Zone_Entry,Zone_Entry_Exit,controlled_entry,Controlled_Entry - ZoneEntry Carried,False,False,False,False,
ED163,ZoneEntry_CarriedBreakaway,ZoneEntry CarriedBreakaway,Zone_Entry,Zone_Entry_Exit,controlled_entry,Controlled_Entry - ZoneEntry CarriedBreakaway,False,False,False,False,
ED164,ZoneEntry_Shot,ZoneEntry Shot,Zone_Entry,Zone_Entry_Exit,zone_entry,Zone_Entry - ZoneEntry Shot,False,False,False,False,
ED165,ZoneExit_CausedTurnover,ZoneExit CausedTurnover,Zone_Exit,Zone_Entry_Exit,zone_exit,Zone_Exit - ZoneExit CausedTurnover,False,False,False,False,
ED166,ZoneExit_Chip,ZoneExit Chip,Zone_Exit,Zone_Entry_Exit,uncontrolled_exit,Uncontrolled_Exit - ZoneExit Chip,False,False,False,False,
ED167,ZoneExit_Clear,ZoneExit Clear,Zone_Exit,Zone_Entry_Exit,uncontrolled_exit,Uncontrolled_Exit - ZoneExit Clear,False,False,False,False,
ED168,ZoneExit_Lob,ZoneExit Lob,Zone_Exit,Zone_Entry_Exit,uncontrolled_exit,Uncontrolled_Exit - ZoneExit Lob,False,False,False,False,
ED169,ZoneExit_OppTeam,ZoneExit OppTeam,Zone_Exit,Zone_Entry_Exit,zone_exit,Zone_Exit - ZoneExit OppTeam,False,False,False,False,
ED170,ZoneExit_Other,ZoneExit Other,Zone_Exit,Zone_Entry_Exit,zone_exit,Zone_Exit - ZoneExit Other,False,False,False,False,
ED171,ZoneExit_Pass,ZoneExit Pass,Zone_Exit,Zone_Entry_Exit,controlled_exit,Controlled_Exit - ZoneExit Pass,False,False,False,False,
ED172,ZoneExit_PassMiss_Misplay,ZoneExit PassMiss,Zone_Exit,Zone_Entry_Exit,controlled_exit,Controlled_Exit - ZoneExit PassMiss Misplay,False,False,False,False,low
ED173,ZoneExit_PassMiss/Misplay,ZoneExit PassMiss/Misplay,Zone_Exit,Zone_Entry_Exit,controlled_exit,Controlled_Exit - ZoneExit PassMiss/Misplay,False,False,False,False,low
ED174,ZoneExit_PenaltyKillClear,ZoneExit PenaltyKillClear,Zone_Exit,Zone_Entry_Exit,uncontrolled_exit,Uncontrolled_Exit - ZoneExit PenaltyKillClear,False,False,False,False,
ED175,ZoneExit_Carried,ZoneExit Carried,Zone_Exit,Zone_Entry_Exit,controlled_exit,Controlled_Exit - ZoneExit Carried,False,False,False,False,
ED176,ZoneExit_Shot,ZoneExit Shot,Zone_Exit,Zone_Entry_Exit,zone_exit,Zone_Exit - ZoneExit Shot,False,False,False,False,
