table_name,type,rows,columns,primary_key,column_list
fact_h2h,fact,684,21,game_id,"game_id, player_1_id, player_2_id, shifts_together, home_team_id..."
fact_head_to_head,fact,572,16,game_id,"game_id, player_1_id, player_1_name, player_1_rating, player_1_venue..."
fact_leadership,fact,28,9,player_full_name,"player_full_name, player_id, leadership, skill_rating, n_player_url..."
fact_league_leaders_snapshot,fact,14473,13,game_id,"game_id, date, player_id, player_name, team_name..."
fact_line_combos,fact,332,38,game_id,"game_id, venue, forward_combo, defense_combo, shifts..."
fact_linked_events,fact,473,48,linked_event_key,"linked_event_key, game_id, primary_event_index, event_count, event_1_index..."
fact_matchup_summary,fact,684,29,game_id,"game_id, player_1_id, player_2_id, shifts_together, home_team_id..."
fact_player_boxscore_all,fact,14473,23,game_id,"game_id, player_id, player_name, player_number, player_position..."
fact_player_event_chains,fact,5831,22,event_chain_key,"event_chain_key, game_id, event_index, event_key, event_type..."
fact_player_game_stats,fact,107,317,player_game_key,"player_game_key, game_id, player_id, player_name, goals..."
fact_player_micro_stats,fact,212,6,micro_stat_key,"micro_stat_key, player_game_key, game_id, player_id, micro_stat..."
fact_player_pair_stats,fact,475,12,game_id,"game_id, player_1_id, player_1_name, player_1_rating, player_2_id..."
fact_player_period_stats,fact,321,10,player_period_key,"player_period_key, game_id, player_id, period, events..."
fact_player_stats_long,fact,7026,6,player_stat_key,"player_stat_key, player_game_key, game_id, player_id, stat_name..."
fact_player_xy_long,fact,0,16,player_xy_key,"player_xy_key, game_id, event_index, event_key, player_id..."
fact_player_xy_wide,fact,0,50,player_xy_key,"player_xy_key, game_id, event_index, event_key, player_id..."
fact_playergames,fact,3010,25,ID,"ID, Date, Type, Team, Opp..."
fact_plays,fact,2714,25,play_id,"play_id, game_id, sequence_id, play_index, first_event..."
fact_possession_time,fact,107,14,possession_key,"possession_key, game_id, player_id, venue, zone_entries..."
fact_puck_xy_long,fact,0,12,puck_xy_key,"puck_xy_key, game_id, event_index, event_key, point_number..."
fact_puck_xy_wide,fact,0,55,puck_xy_key,"puck_xy_key, game_id, event_index, event_key, point_count..."
fact_registration,fact,190,19,player_full_name,"player_full_name, player_id, season_id, season, restricted..."
fact_rush_events,fact,199,12,game_id,"game_id, entry_event_index, shot_event_index, events_to_shot, is_rush..."
fact_scoring_chances,fact,451,14,scoring_chance_key,"scoring_chance_key, game_id, event_index, period, is_goal..."
fact_sequences,fact,1088,28,sequence_id,"sequence_id, game_id, sequence_index, first_event, last_event..."
fact_shift_quality,fact,4626,13,shift_quality_key,"shift_quality_key, game_id, player_id, shift_index, shift_duration..."
fact_shifts,fact,672,63,shift_key,"shift_key, game_id, shift_index, Period, shift_start_min..."
fact_shifts_long,fact,4336,28,shift_player_key,"shift_player_key, shift_key, game_id, shift_index, player_number..."
fact_shifts_player,fact,4626,34,shift_player_key,"shift_player_key, shift_key, game_id, shift_index, player_number..."
fact_shot_danger,fact,435,10,shot_danger_key,"shot_danger_key, game_id, event_index, danger_zone, xg..."
fact_shot_xy,fact,0,31,shot_xy_key,"shot_xy_key, game_id, event_index, event_key, player_id..."
fact_team_game_stats,fact,8,51,team_game_key,"team_game_key, game_id, venue, goals, shots..."
fact_team_standings_snapshot,fact,1124,14,game_id,"game_id, date, team_name, games_played, wins..."
fact_team_zone_time,fact,8,17,zone_time_key,"zone_time_key, game_id, venue, ozone_events, dzone_events..."
fact_video,fact,10,15,video_key,"video_key, game_id, Index, Key, Game_ID..."
fact_wowy,fact,641,25,game_id,"game_id, player_1_id, player_2_id, venue, shifts_together..."
