table_name,column_name,data_type,sample_value
dim_net_location,x_pct,float64,0.25
dim_net_location,y_pct,float64,0.75
dim_pass_type,pass_type_id,object,PT0001
dim_pass_type,pass_type_code,object,Pass-Backhand
dim_pass_type,pass_type_name,object,Backhand
dim_pass_type,expected_completion_rate,float64,0.7
dim_pass_type,danger_value,float64,0.8
dim_pass_type,xa_modifier,float64,0.9
dim_pass_type,description,object,Backhand pass - deceptive but less accurate
dim_pass_type,skill_required,object,medium
dim_period,period_id,object,P0001
dim_period,period_number,int64,1
dim_period,period_name,object,First Period
dim_period,period_type,object,regulation
dim_period,duration_seconds,int64,1200
dim_period,intensity_multiplier,float64,1.0
dim_period,description,object,Opening period
dim_play_detail,play_detail_id,object,PD0001
dim_play_detail,play_detail_code,object,AssistPrimary
dim_play_detail,play_detail_name,object,AssistPrimary
dim_play_detail,play_category,object,Other
dim_play_detail,skill_level,object,Standard
dim_play_detail,description,object,Micro-play action describing HOW the event was exe
dim_play_detail_2,play_detail_2_id,object,P20001
dim_play_detail_2,play_detail_2_code,object,AttemptedBreakOutPass
dim_play_detail_2,play_detail_2_name,object,AttemptedBreakOutPass
dim_play_detail_2,is_secondary_play,object,Yes
dim_play_detail_2,description,object,Additional micro-play context
dim_player,player_id,object,P100001
dim_player,row_index,int64,0
dim_player,player_first_name,object,Sam
dim_player,player_last_name,object,Downs
dim_player,player_full_name,object,Sam Downs
dim_player,player_primary_position,object,Forward
dim_player,current_skill_rating,int64,6
dim_player,player_hand,float64,
dim_player,birth_year,float64,1986.0
dim_player,player_gender,object,M
dim_player,highest_beer_league,object,B - Platinum Group
dim_player,player_rating_ly,int64,6
dim_player,player_notes,float64,
dim_player,player_leadership,object,A
dim_player,player_norad,object,Y
dim_player,player_csaha,float64,
dim_player,player_norad_primary_number,float64,
dim_player,player_csah_primary_number,float64,
dim_player,player_norad_current_team,object,Velodrome
dim_player,player_csah_current_team,float64,
dim_player,player_norad_current_team_id,object,N10010
dim_player,player_csah_current_team_id,float64,
dim_player,other_url,float64,
dim_player,player_url,object,https://www.noradhockey.com/player/sam-downs/
dim_player,player_image,object,https://i0.wp.com/www.noradhockey.com/wp-content/u
dim_player,random_player_first_name,object,Joshua Walton
dim_player,random_player_last_name,object,Joshua
dim_player,random_player_full_name,object,Walton
dim_player_role,role_id,object,RL0001
dim_player_role,role_code,object,event_player_1
dim_player_role,role_name,object,Event Player 1
dim_player_role,role_type,object,event_team
dim_player_role,sort_order,int64,1
dim_player_role,potential_values,object,"event_player_1,event_team_player_1,player_1"
dim_playerurlref,player_url_key,object,PUK00000
dim_playerurlref,n_player_url,object,Zach Schirm - SUB - 6
dim_playerurlref,player_full_name,object,SUB - Zach Schirm - SUB
dim_playerurlref,n_player_id_2,object,Zach Schirm - SUB - 6
dim_position,position_id,object,PS0001
dim_position,position_code,object,C
dim_position,position_name,object,Center
dim_position,position_type,object,forward
dim_randomnames,random_full_name,object,Zachary Perry
dim_randomnames,random_first_name,object,Zachary
dim_randomnames,random_last_name,object,Perry
dim_randomnames,gender,object,M
dim_randomnames,name_used,object,Y
dim_rink_coord,rink_coord_id,object,RC0001
dim_rink_coord,rink_coord_code,object,OZ_SLOT
dim_rink_coord,rink_coord_name,object,Offensive Zone - Slot
dim_rink_coord,x_min,int64,54
dim_rink_coord,x_max,int64,89
dim_rink_coord,y_min,int64,-22
dim_rink_coord,y_max,int64,22
dim_rinkboxcoord,box_id,object,O01
dim_rinkboxcoord,box_id_rev,object,D01
dim_rinkboxcoord,x_min,float64,89.0
dim_rinkboxcoord,x_max,float64,100.0
dim_rinkboxcoord,y_min,float64,-42.5
dim_rinkboxcoord,y_max,float64,0.0
dim_rinkboxcoord,area,float64,326.5
dim_rinkboxcoord,x_description,object,behind net
dim_rinkboxcoord,y_description,object,half
dim_rinkboxcoord,danger,object,low
dim_rinkboxcoord,zone_name,object,offensive
dim_rinkboxcoord,side,object,left
dim_rinkcoordzones,box_id,object,OZ01
dim_rinkcoordzones,box_id_rev,object,DZ01
dim_rinkcoordzones,x_min,float64,89.0
dim_rinkcoordzones,x_max,float64,100.0
dim_rinkcoordzones,y_min,float64,-42.5
dim_rinkcoordzones,y_max,float64,-7.5
dim_rinkcoordzones,y_description,object,boards to far hash
dim_rinkcoordzones,x_description,object,behind net
dim_rinkcoordzones,danger,object,low
dim_rinkcoordzones,slot,object,outside low
dim_rinkcoordzones,zone_name,object,offensive
dim_rinkcoordzones,side,object,right
dim_rinkcoordzones,dotside,object,outside trapezoid
dim_rinkcoordzones,depth,object,below goal line
dim_schedule,game_id,int64,18619
dim_schedule,row_index,int64,0
dim_schedule,season,int64,2025
dim_schedule,season_id,object,N2025S
dim_schedule,game_url,object,https://www.noradhockey.com/event/18619/
dim_schedule,home_team_game_id,object,18619N10022
dim_schedule,away_team_game_id,object,18619N10023
dim_schedule,game_date_str,object,2025-07-13
dim_schedule,game_time,object,18:45:00
dim_schedule,home_team_name,object,Red
dim_schedule,away_team_name,object,Green
dim_schedule,home_team_id,object,N10022
dim_schedule,away_team_id,object,N10023
dim_schedule,head_to_head_id,object,N10022_N10023
dim_schedule,game_type,object,Regular
dim_schedule,playoff_round,object,
dim_schedule,last_period_type,object,Regulation
dim_schedule,period_length,object,00:18:00
dim_schedule,ot_period_length,object,00:00:00
dim_schedule,shootout_rounds,float64,0.0
dim_schedule,home_total_goals,int64,4
dim_schedule,away_total_goals,int64,5
dim_schedule,home_team_period1_goals,float64,
dim_schedule,home_team_period2_goals,float64,
dim_schedule,home_team_period3_goals,float64,
dim_schedule,home_team_periodOT_goals,float64,
dim_schedule,away_team_period1_goals,float64,
dim_schedule,away_team_period2_goals,float64,
dim_schedule,away_team_period3_goals,float64,
dim_schedule,away_team_periodOT_goals,float64,
dim_schedule,home_team_seeding,float64,
dim_schedule,away_team_seeding,float64,
dim_schedule,home_team_w,int64,0
dim_schedule,home_team_l,int64,1
dim_schedule,home_team_t,int64,0
dim_schedule,home_team_pts,int64,0
dim_schedule,away_team_w,int64,1
dim_schedule,away_team_l,int64,0
dim_schedule,away_team_t,int64,0
dim_schedule,away_team_pts,int64,2
dim_schedule,video_id,float64,
dim_schedule,video_start_time,float64,
dim_schedule,video_end_time,float64,
dim_schedule,video_title,float64,
dim_schedule,video_url,float64,
dim_season,season_id,object,N20212022F
dim_season,row_index,int64,0
dim_season,season,int64,20212022
dim_season,session,object,F
dim_season,norad,object,Y
dim_season,csah,object,N
dim_season,league_id,object,N
dim_season,league,object,NORAD
dim_season,start_date,object,2021-08-01
dim_shift_slot,slot_id,object,SL0001
dim_shift_slot,slot_code,object,defense_1
dim_shift_slot,slot_name,object,Defense 1
dim_shift_start_type,shift_start_type_id,object,SS0001
dim_shift_start_type,shift_start_type_code,object,FACEOFF
dim_shift_start_type,shift_start_type_name,object,Faceoff
dim_shift_start_type,start_category,object,structured
dim_shift_start_type,description,object,Shift started at faceoff
dim_shift_start_type,energy_factor,float64,1.0
dim_shift_start_type,old_equiv,object,OtherFaceoff
dim_shift_stop_type,shift_stop_type_id,object,SE0001
dim_shift_stop_type,shift_stop_type_code,object,FACEOFF
dim_shift_stop_type,shift_stop_type_name,object,Faceoff
dim_shift_stop_type,stop_category,object,structured
dim_shift_stop_type,description,object,Shift ended at faceoff
dim_shift_stop_type,shift_value_modifier,float64,1.0
dim_shift_stop_type,old_equiv,object,
dim_shift_stop_type,source_table,object,both
dim_shift_stop_type,item_type,object,explicit
dim_shot_type,shot_type_id,object,ST0001
dim_shot_type,shot_type_code,object,Goal-Backhand
dim_shot_type,shot_type_name,object,Backhand
dim_shot_type,is_goal,int64,1
dim_shot_type,xg_modifier,float64,1.3
dim_shot_type,accuracy_rating,float64,0.7
dim_shot_type,power_rating,float64,0.5
dim_shot_type,deception_rating,float64,0.9
dim_shot_type,typical_distance,object,close
dim_shot_type,description,object,Backhand goal - deceptive close-range finish
dim_situation,situation_id,object,SIT0001
dim_situation,situation_code,object,Away EmptyNet
dim_situation,situation_name,object,Away EmptyNet
dim_skill_tier,tier_id,int64,1
dim_skill_tier,tier_name,object,Elite
dim_skill_tier,min_rating,float64,5.5
dim_skill_tier,max_rating,float64,6.0
dim_skill_tier,description,object,Top-tier players
dim_skill_tier,_updated_timestamp,object,2025-12-31T05:50:56.537981
dim_skill_tier,_export_timestamp,object,2025-12-31T05:50:59.473922
dim_stat,stat_id,object,MS0001
dim_stat,stat_code,object,G
dim_stat,stat_name,object,Goals
dim_stat,category,object,basic
dim_stat,description,object,Goals scored
dim_stat,formula,object,count of goals
dim_stat,player_role,object,event_player_1
dim_stat,computable_now,object,yes
dim_stat,benchmark_elite,float64,
dim_stat,nhl_avg_per_game,float64,0.3
dim_stat,nhl_elite_threshold,float64,0.4
dim_stat,nhl_min_threshold,float64,0.15
dim_stat_category,stat_category_id,object,SC001
dim_stat_category,category_code,object,counting
dim_stat_category,category_name,object,Counting Stats
dim_stat_category,description,object,"Basic counting statistics (G, A, SOG, etc.)"
dim_stat_type,stat_id,object,MS0001
dim_stat_type,stat_name,object,Goals
dim_stat_type,stat_category,object,core
dim_stat_type,stat_level,object,player_game
dim_stat_type,computable_now,object,yes
dim_stat_type,description,object,Goals scored
dim_stoppage_type,stoppage_type_id,object,SP0001
dim_stoppage_type,stoppage_type_code,object,GOAL
dim_stoppage_type,stoppage_type_name,object,Goal Scored
dim_stoppage_type,stoppage_category,object,scoring
dim_stoppage_type,description,object,Play stopped for goal
dim_strength,strength_id,object,STR0001
dim_strength,strength_code,object,5v5
dim_strength,strength_name,object,Even Strength
dim_strength,situation_type,object,even
dim_strength,xg_multiplier,float64,1.0
dim_strength,description,object,Standard 5v5 play
dim_strength,avg_toi_pct,float64,0.85
dim_success,success_id,object,SC0001
dim_success,success_code,object,s
dim_success,success_name,object,Successful
dim_success,potential_values,object,"s,S,1"
dim_takeaway_type,takeaway_type_id,object,TA0001
dim_takeaway_type,takeaway_type_code,object,Takeaway-BattleWon
dim_takeaway_type,takeaway_type_name,object,Battle Won
dim_takeaway_type,skill_level,object,medium
dim_takeaway_type,xgf_impact,float64,0.05
dim_takeaway_type,value_weight,float64,1.0
dim_takeaway_type,transition_potential,object,medium
dim_takeaway_type,description,object,Won 50/50 puck battle
dim_team,team_id,object,N10001
dim_team,row_index,int64,0
dim_team,team_name,object,Amos
dim_team,norad_team,object,Y
dim_team,csah_team,object,N
dim_team,league_id,object,N
dim_team,league,object,NORAD
dim_team,long_team_name,object,AMOS
dim_team,team_cd,object,ACE
dim_team,team_color1,object,#641C28
dim_team,team_color2,object,#458BC5
dim_team,team_color3,object,#FFFFFF
dim_team,team_color4,float64,
dim_team,team_logo,object,https://i0.wp.com/www.noradhockey.com/wp-content/u
dim_team,team_url,object,https://www.noradhockey.com/team/amos-2/
dim_terminology_mapping,mapping_id,object,event_type_Turnover
dim_terminology_mapping,dimension,object,event_type
dim_terminology_mapping,old_value,object,Turnover
dim_terminology_mapping,new_value,object,Turnover
dim_terminology_mapping,match_type,object,exact
dim_turnover_quality,turnover_quality_id,object,TQ0001
dim_turnover_quality,turnover_quality_code,object,BAD
dim_turnover_quality,turnover_quality_name,object,Bad Turnover
dim_turnover_quality,description,object,"Turnover due to player error - pass missed, giveaw"
dim_turnover_quality,counts_against,bool,True
dim_turnover_type,turnover_type_id,object,TO0001
dim_turnover_type,turnover_type_code,object,GIVE_MISPLAY
dim_turnover_type,turnover_type_name,object,Misplayed Puck
dim_turnover_type,category,object,giveaway
dim_turnover_type,quality,object,bad
dim_turnover_type,weight,float64,1.0
dim_turnover_type,description,object,Player error handling puck
dim_turnover_type,zone_context,object,any
dim_turnover_type,zone_danger_multiplier,float64,1.0
dim_venue,venue_id,object,VN0001
dim_venue,venue_code,object,home
dim_venue,venue_name,object,Home
dim_venue,venue_abbrev,object,H
dim_zone,zone_id,object,ZN0001
dim_zone,zone_code,object,O
dim_zone,zone_name,object,Offensive Zone
dim_zone,zone_abbrev,object,OZ
dim_zone_entry_type,zone_entry_type_id,object,ZE0001
dim_zone_entry_type,zone_entry_type_code,object,ZoneEntry-CausedTurnover
dim_zone_entry_type,zone_entry_type_name,object,Caused Turnover
dim_zone_entry_type,control_level,object,controlled
dim_zone_entry_type,fenwick_per_entry,float64,0.65
dim_zone_entry_type,shot_multiplier,float64,2.0
dim_zone_entry_type,goal_prob_multiplier,float64,1.4
dim_zone_entry_type,description,object,Entry via forced turnover - high danger transition
dim_zone_entry_type,expected_success_rate,float64,0.85
dim_zone_exit_type,zone_exit_type_id,object,ZX0001
dim_zone_exit_type,zone_exit_type_code,object,ZoneExit-CausedTurnover
dim_zone_exit_type,zone_exit_type_name,object,Caused Turnover
dim_zone_exit_type,control_level,object,controlled
dim_zone_exit_type,leads_to_entry_pct,float64,0.9
dim_zone_exit_type,possession_retained_pct,float64,0.95
dim_zone_exit_type,offensive_value_weight,float64,1.5
dim_zone_exit_type,description,object,Exit via forced turnover - immediate counter-attac
etl_run_log,run_id,object,20251231_050719
etl_run_log,started_at,object,2025-12-31T05:07:19.516982
etl_run_log,completed_at,object,2025-12-31T05:07:22.898901
etl_run_log,status,object,failed
etl_run_log,mode,object,standard
etl_run_log,games_requested,object,[18969]
etl_run_log,games_processed,object,[]
etl_run_log,games_failed,object,[]
etl_run_log,tables_loaded,int64,98
etl_run_log,rows_processed,int64,135334
etl_run_log,rows_quarantined,int64,0
etl_run_log,rows_failed,int64,0
etl_run_log,duration_seconds,float64,3.381919
etl_run_log,error_message,float64,
etl_run_log,checksum,float64,
etl_table_log,log_key,object,LOG000000
etl_table_log,run_id,object,20251231_050719
etl_table_log,table_name,object,dim_comparison_type
etl_table_log,started_at,object,2025-12-31T05:07:19.658486
etl_table_log,completed_at,object,2025-12-31T05:07:19.661900
etl_table_log,status,object,success
etl_table_log,rows_in_source,int64,0
etl_table_log,rows_loaded,int64,6
etl_table_log,rows_quarantined,int64,0
etl_table_log,rows_failed,int64,0
etl_table_log,duration_seconds,float64,0.003414
etl_table_log,error_message,float64,
etl_table_log,source_checksum,float64,
fact_cycle_events,cycle_key,object,CYC000000
fact_cycle_events,game_id,int64,18969
fact_cycle_events,cycle_start_event_index,int64,1048
fact_cycle_events,cycle_end_event_index,int64,1052
fact_cycle_events,pass_count,int64,3
fact_cycle_events,is_cycle,bool,True
fact_cycle_events,home_team_id,object,N10008
fact_cycle_events,away_team_id,object,N10010
fact_draft,draft_key,object,DRF000000
fact_draft,team_id,object,N10010
fact_draft,skill_rating,int64,6
fact_draft,round,int64,1
fact_draft,player_full_name,object,Sam Downs
fact_draft,player_id,object,P100001
fact_draft,team_name,object,Velodrome
fact_draft,restricted,bool,False
fact_draft,overall_draft_round,int64,1
fact_draft,overall_draft_position,int64,1
fact_draft,unrestricted_draft_position,int64,1
fact_draft,season,int64,20252026
fact_draft,season_id,object,N20252026F
fact_draft,league,object,NORAD
fact_draft,player_draft_id,object,DRAFT_N20252026FP100001
fact_draft,league_id,object,N
fact_event_chains,chain_key,object,C18969009001
fact_event_chains,game_id,int64,18969
fact_event_chains,chain_index,int64,9001
fact_event_chains,event_count,int64,2
fact_event_chains,first_event_index,float64,1005.0
fact_event_chains,last_event_index,float64,1006.0
fact_event_chains,event_types,object,"Zone_Entry_Exit,Turnover"
fact_event_chains,chain_id,object,CH1896901005
fact_event_chains,entry_event_index,int64,1005
fact_event_chains,shot_event_index,int64,1012
fact_event_chains,events_to_shot,int64,7
fact_event_chains,entry_type,object,ZoneEntry-DumpIn
fact_event_chains,shot_result,object,Shot_Blocked
fact_event_chains,is_goal,bool,False
fact_event_chains,zone_name,object,n
fact_event_chains,sequence_id,float64,5001.0
fact_event_chains,zone_id,object,ZN0003
fact_event_chains,zone_entry_type_id,object,ZE0003
fact_event_chains,shot_result_type_id,float64,
fact_event_chains,home_team_id,object,N10008
fact_event_chains,away_team_id,object,N10010
fact_events,event_key,object,E18969001000
fact_events,game_id,int64,18969
fact_events,period,float64,1.0
fact_events,event_index,float64,1000.0
fact_events,linked_event_index,float64,
fact_events,sequence_index,float64,
fact_events,play_index,float64,
fact_events,event_type,object,GameStart
fact_events,tracking_event_index,float64,1000.0
fact_events,event_start_min,float64,
fact_events,event_start_sec,float64,
fact_events,event_end_min,float64,
fact_events,event_end_sec,float64,
fact_events,role_abrev,object,
fact_events,event_team_zone,object,
fact_events,home_team_zone,object,
fact_events,away_team_zone,object,
fact_events,team_venue,object,
fact_events,team_venue_abv,object,
fact_events,side_of_puck,object,
fact_events,play_detail1,float64,
fact_events,play_detail_2,float64,
fact_events,play_detail_successful,float64,
fact_events,pressured_pressurer,float64,
fact_events,zone_change_index,float64,1.0
fact_events,home_team,object,Platinum
fact_events,away_team,object,Velodrome
fact_events,event_type_raw,object,GameStart
fact_events,event_detail,object,
fact_events,event_detail_2,object,
fact_events,event_successful,object,
fact_events,shift_index,float64,
fact_events,duration,float64,
fact_events,time_start_total_seconds,float64,
fact_events,time_end_total_seconds,float64,
fact_events,running_intermission_duration,float64,
fact_events,period_start_total_running_seconds,float64,0.0
fact_events,running_video_time,float64,0.0
fact_events,event_running_start,float64,0.0
fact_events,event_running_end,float64,5.0
fact_events,period_id,float64,
fact_events,venue_id,float64,
fact_events,event_type_id,float64,
fact_events,event_detail_id,float64,
fact_events,event_detail_2_id,float64,
fact_events,success_id,float64,
fact_events,play_detail_success_id,float64,
fact_events,zone_id,float64,
fact_events,play_detail_id,float64,
fact_events,play_detail_2_id,float64,
fact_events,home_team_id,float64,
fact_events,away_team_id,float64,
fact_events,shift_key,float64,
fact_events,empty_net_goal,float64,
fact_events_player,event_player_key,object,EPK000000
fact_events_player,event_key,object,E18969001000
fact_events_player,game_id,int64,18969
fact_events_player,player_id,object,
fact_events_player,event_index,float64,1000.0
fact_events_player,player_role,object,
fact_events_player,role_number,float64,
fact_events_player,period,float64,1.0
fact_events_player,event_type,object,GameStart
fact_events_player,player_game_number,float64,
fact_events_player,linked_event_index,float64,
fact_events_player,tracking_event_index,float64,1000.0
fact_events_player,event_start_min,float64,
fact_events_player,event_start_sec,float64,
fact_events_player,event_end_min,float64,
fact_events_player,event_end_sec,float64,
fact_events_player,role_abrev,object,
fact_events_player,event_team_zone,object,
fact_events_player,home_team_zone,object,
fact_events_player,away_team_zone,object,
fact_events_player,team_venue,object,
fact_events_player,team_venue_abv,object,
fact_events_player,side_of_puck,object,
fact_events_player,sequence_index,float64,
fact_events_player,play_index,float64,
fact_events_player,play_detail1,float64,
fact_events_player,play_detail_2,float64,
fact_events_player,play_detail_successful,float64,
fact_events_player,pressured_pressurer,float64,
fact_events_player,zone_change_index,float64,1.0
fact_events_player,home_team,object,Platinum
fact_events_player,away_team,object,Velodrome
fact_events_player,event_type_raw,object,GameStart
fact_events_player,event_detail,object,
fact_events_player,event_detail_2,float64,
fact_events_player,event_successful,float64,
fact_events_player,shift_index,float64,
fact_events_player,duration,float64,
fact_events_player,time_start_total_seconds,float64,
fact_events_player,time_end_total_seconds,float64,
fact_events_player,running_intermission_duration,float64,
fact_events_player,period_start_total_running_seconds,float64,0.0
fact_events_player,running_video_time,float64,0.0
fact_events_player,event_running_start,float64,0.0
fact_events_player,event_running_end,float64,5.0
fact_events_player,player_team,object,
fact_events_player,player_name,object,
fact_events_player,play_detail,float64,
fact_events_tracking,event_tracking_key,object,ETK000000
fact_events_tracking,event_key,object,EV1896901000
fact_events_tracking,event_id,object,E_18969_1000
fact_events_tracking,game_id,int64,18969
fact_events_tracking,event_index,int64,1000
fact_events_tracking,player_id,object,
fact_events_tracking,player_game_number,float64,
fact_events_tracking,period,int64,1
fact_events_tracking,linked_event_index,float64,
fact_events_tracking,tracking_event_index,int64,1000
fact_events_tracking,event_start_min,float64,
fact_events_tracking,event_start_sec,float64,
fact_events_tracking,event_end_min,float64,
fact_events_tracking,event_end_sec,float64,
fact_events_tracking,role_abrev,object,
fact_events_tracking,event_team_zone,object,
fact_events_tracking,home_team_zone,object,
fact_events_tracking,away_team_zone,object,
fact_events_tracking,team_venue,object,
fact_events_tracking,team_venue_abv,object,
fact_events_tracking,side_of_puck,object,
fact_events_tracking,sequence_index,float64,
fact_events_tracking,play_index,float64,
fact_events_tracking,play_detail1,float64,
fact_events_tracking,play_detail_2,float64,
fact_events_tracking,play_detail_successful,float64,
fact_events_tracking,pressured_pressurer,float64,
fact_events_tracking,zone_change_index,float64,1.0
fact_events_tracking,home_team,object,Platinum
fact_events_tracking,away_team,object,Velodrome
fact_events_tracking,event_type_raw,object,GameStart
fact_events_tracking,event_detail,object,
fact_events_tracking,event_detail_2,float64,
fact_events_tracking,event_successful,float64,
fact_events_tracking,shift_index,float64,
fact_events_tracking,duration,float64,
fact_events_tracking,time_start_total_seconds,float64,
fact_events_tracking,time_end_total_seconds,float64,
fact_events_tracking,running_intermission_duration,float64,
fact_events_tracking,period_start_total_running_seconds,float64,0.0
fact_events_tracking,running_video_time,float64,0.0
fact_events_tracking,event_running_start,float64,0.0
fact_events_tracking,event_running_end,float64,5.0
fact_events_tracking,player_role,object,
fact_events_tracking,role_number,float64,
fact_events_tracking,player_team,object,
fact_game_roster,roster_key,object,10001_P100250
fact_game_roster,game_id,int64,10001
fact_game_roster,player_id,object,P100250
fact_game_roster,player_full_name,object,Geoff Nolan
fact_game_roster,player_game_number,int64,2
fact_game_roster,player_position,object,Defense
fact_game_roster,team_id,object,N10002
fact_game_roster,team_name,object,Ace
fact_game_roster,team_venue,object,away
fact_game_roster,opp_team_id,object,N10004
fact_game_roster,goals,float64,0.0
fact_game_roster,assists,float64,2.0
fact_game_roster,goals_against,float64,0.0
fact_game_roster,pim,float64,0.0
fact_game_roster,is_sub,float64,
fact_game_roster,current_team,object,Free Agent
fact_game_roster,skill_rating,int64,4
fact_game_roster,season,int64,20232024
fact_game_status,game_id,int64,18619
fact_game_status,game_date,object,2025-07-13 00:00:00
fact_game_status,home_team,object,Red
fact_game_status,away_team,object,Green
fact_game_status,official_home_goals,int64,4
fact_game_status,official_away_goals,int64,5
fact_game_status,official_total_goals,int64,9
fact_game_status,game_url,object,https://www.noradhockey.com/event/18619/
fact_game_status,tracking_status,object,NO_FILE
fact_game_status,tracking_pct,float64,0.0
fact_game_status,events_row_count,int64,0
fact_game_status,shifts_row_count,int64,0
fact_game_status,player_id_fill_pct,float64,0.0
fact_game_status,goal_events,int64,0
fact_game_status,periods_covered,float64,
fact_game_status,tracking_start_period,float64,
fact_game_status,tracking_start_time,float64,
fact_game_status,tracking_end_period,float64,
fact_game_status,tracking_end_time,float64,
fact_game_status,is_loaded,bool,False
fact_game_status,goals_in_stats,int64,0
fact_game_status,goal_match,float64,
fact_game_status,player_count,int64,0
fact_game_status,issues,object,No tracking file
fact_gameroster,roster_key,object,ROST000000
fact_gameroster,row_index,int64,3228
fact_gameroster,game_id,int64,10001
fact_gameroster,team_game_id,object,10001N10002
fact_gameroster,opp_team_game_id,object,10001N10004
fact_gameroster,player_game_id,object,10001N10002100256
fact_gameroster,team_venue,object,away
fact_gameroster,team_name,object,Ace
fact_gameroster,opp_team_name,object,Nelson
fact_gameroster,player_game_number,int64,2
fact_gameroster,n_player_url,object,Geoff Nolan – 4
fact_gameroster,player_position,object,Defense
fact_gameroster,games_played,int64,1
fact_gameroster,goals,float64,0.0
fact_gameroster,assist,float64,2.0
fact_gameroster,goals_against,float64,0.0
fact_gameroster,pim,float64,0.0
fact_gameroster,shutouts,float64,0.0
fact_gameroster,team_id,object,N10002
fact_gameroster,opp_team_id,object,N10004
fact_gameroster,row_key,object,10001Ace2
fact_gameroster,player_full_name,object,Geoff Nolan
fact_gameroster,player_id,object,P100250
fact_gameroster,game_date_str,object,2023-10-08
fact_gameroster,season,int64,20232024
fact_gameroster,sub,float64,
fact_gameroster,current_team,object,Free Agent
fact_gameroster,skill_rating,int64,4
fact_goalie_game_stats,player_game_key,object,GG1896900643
fact_goalie_game_stats,game_id,int64,18969
fact_goalie_game_stats,player_id,object,P100016
fact_goalie_game_stats,venue,object,away
fact_goalie_game_stats,toi_seconds,float64,3158.0
fact_goalie_game_stats,toi_minutes,float64,52.6
fact_goalie_game_stats,goals_against,int64,4
fact_goalie_game_stats,goalie_game_key,float64,
fact_goalie_game_stats,player_name,float64,
fact_goalie_game_stats,saves,float64,
fact_goalie_game_stats,playing_toi_seconds,float64,
fact_goalie_game_stats,playing_toi_minutes,float64,
fact_goalie_game_stats,stoppage_seconds,float64,
fact_goalie_game_stats,shots_faced,float64,
fact_goalie_game_stats,save_pct,float64,
fact_goalie_game_stats,gaa,float64,
fact_goalie_game_stats,gaa_playing,float64,
fact_goalie_game_stats,team_name,float64,
